Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Lepus californicus,Blacktail jackrabbit,ROM R6444,1535,2423,83.6,17.8,107.55,12.3,,Q,Lepus californicus
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Lepus europaeus,European Hare,ROM 93105,3402,3740,108.1,24.75,137.9,33.75,,Q,Lepus europaeus
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Lepus townsendii,White-tailed Jackrabbit,ROM 91969,4300,1555,102.6,20.75,125.85,28.25,,Q,Lepus townsendii
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Liberiictis kuhni,Liberian Mongoose,ROM 102286,2430,2150,68,20.5,76.1,22.25,,Q,Liberiictis kuhni
Campione and Evans 2012,,,,Mammalia,Afrotheria,Elephantidae,Loxodonta africana,African elephant,ROM R6000,6435000,3940034,1035,416.3,1147.5,399,,Q,Loxodonta africana
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Lutra canadensis,Otter,ROM R6629,6400,,74.66,26.1,73.69,24.4,,Q,Lutra lutra
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Lynx canadensis,Canadian Lynx,ROM 74772,17710,9373,178.75,38.75,215.55,40.85,,Q,Lynx canadensis
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Lynx lynx,Eurasian lynx,ZMUC 120-CH2005,9700,17950,170.5,38,202.5,39,,Q,Lynx lynx
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Lynx rufus,Bobcat,ROM 67947,8800,8904,151.25,36.5,175.95,38.25,,Q,Lynx rufus
Campione and Evans 2012,,,,Mammalia,Euarchonta,Cercopithecidae,Macaca fuscata,Japanese Macaque,ROM 112298,3500,10400,135.9,30,152.5,31.5,,Q,Macaca fuscata
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Malacomys cansdalei,Cansdale's Swamp Rat,ROM 100502,70,,21.05,5.25,30.1,7.1,,Q,Malacomys cansdalei
Campione and Evans 2012,,,,Mammalia,Marsupialia,Didelphidae,Marmosa murina,Linnaeus's Mouse Opossum,ROM 98151,59,26,21.45,6.2,25.75,6.1,,Q,Marmosa murina
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Marmota caligata,Hoary marmot,ROM 92037,6250,7230,90.05,28.4,99.2,25.1,,Q,Marmota caligata
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Marmota monax,Groundhog,ROM R1938,3012,3802,68.95,24.15,80.85,22,,Q,Marmota monax
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Martes pennanti,Fisher,ROM 87320,6160,4000,96.4,22.25,102.45,24.5,,Q,Martes pennanti
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Melanomys caliginosus,Dusky Rice Rat,ROM 99943,64,41,16.95,6,23.35,8.2,,Q,Melanomys caliginosus
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Mephitis mephitis,Striped Skunk,ROM 98961,6500,2085,62.15,24.05,71.25,22.05,,Q,Mephitis mephitis
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Meriones unguiculatus,Mongolian Jird,ROM R1689,61,53,16,5.1,22.95,7,,Q,Meriones unguiculatus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Mesocricetus auratus,Hamster,ROM R5623,198,105,24.3,8.85,29,11,,Q,Mesocricetus auratus
Campione and Evans 2012,,,,Mammalia,Marsupialia,Didelphidae,Metachirus nudicaudatus,Brown Four-eyed Opossum,ROM 114155,235,375,35.35,9.25,51.15,11.45,,Q,Metachirus nudicaudatus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Microtus chrotorrhinus,Rock Vole,ROM 90185,67,39,15.05,4.85,18.35,5.6,,Q,Microtus chrotorrhinus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Microtus pennsylvanicus,Meadow Vole,ROM 87854,70,37,14.6,4.5,18.1,5.7,,Q,Microtus pennsylvanicus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Microtus richardsoni,Water Vole,ROM 83701,61,85,16.2,5.2,18.95,6.75,,Q,Microtus richardsoni
Campione and Evans 2012,,,,Mammalia,Marsupialia,Didelphidae,Monodelphis brevicaudata,Northern Red-sided Opossum,ROM 98909,77,70,20.75,6.9,24.55,6.8,,Q,Monodelphis brevicaudata
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Mustela erminae,Stoat,ROM 77158,145,70,29.2,7,30.6,7.7,,Q,Mustela_nivalis
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Mustela frenata,Long-tailed weasel,ROM 94414,260,147,34.98,9.55,38.48,10.2,,Q,Mustela frenata
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Mustela nigripes,Black-footed ferret,ROM R6743,694,850,48.8,12.15,49.9,13.05,,Q,Mustela nigripes
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Mustela putorius,European Polecat,ROM 88373,1100,341,47.3,12.95,51.97,12.5,,Q,Mustela putorius
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Mustela vison,American Mink,ROM 111439,1135,945,47.76,14.65,50.87,14.7,,Q,Mustela_nivalis
Campione and Evans 2012,,,,Mammalia,Glires,Myocastoridae,Myocastor coypus,Coypu,ROM 90843,8130,6938,77.55,25.5,100.95,32.7,,Q,Myocastor coypus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Nectomys squamipes,South American Water Rat,ROM 98049,235,191,24.45,7.6,37.5,11.8,,Q,Nectomys squamipes
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Neofelis nebulosa,Cloud lepard,AHR1985,13478,19500,,44.7,,41.4,,Q,Neofelis nebulosa
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Neotoma albigula,White-Throated Woodrat,ROM 87452,188,206,27.5,8.45,35.4,11.05,,Q,Neotoma albigula
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Nyctereutes procyonoides,Racoon Dog,ROM 94037,3500,4040,84.3,25.25,89.74,25.75,,Q,Nyctereutes procyonoides
Campione and Evans 2012,,,,Mammalia,Glires,Octodontidae,Octodon degus,Degu,ROM R7876,238,210,25.25,7.05,34.8,9.45,,Q,Octodon degus
Campione and Evans 2012,,,,Mammalia,Ungulata,Cervidae,Odocoileus virginianus,White-tailed deer,ROM 59338,66100,55509,216,72,279,77,,Q,Odocoileus virginianus
Campione and Evans 2012,,,,Mammalia,Ungulata,Giraffidae,Okapia johstoni,Okapi,ZMUC M 4221,310000,230001,332,131,355,128,,Q,Okapia johnstoni
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Ondatra zibethicus,Muskrat,ROM 111463,1200,1150,41.25,14,50.45,16.65,,Q,Ondatra zibethicus
Campione and Evans 2012,,,,Mammalia,Glires,Geomyidae,Orthogeomys hispidus,Hispid Pocket Gopher,ROM 96303,490,500,34.45,13.95,42.05,14.05,,Q,Orthogeomys hispidus
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Oryctolagus cuniculus,European Rabbit,ROM 84051,1900,2150,68.55,15.5,88.8,20,,Q,Oryctolagus cuniculus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Oryx dammah,Scimitar Oryx,ROM 94512,117900,200000,225,95,278,92.5,,Q,Oryx dammah
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Oryzomys albigularis,Tomes's rice rat,ROM 97316,106,61,22.5,6,30.35,8,,Q,Oryzomys couesi
