Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Carnivora,Ursidae,Ursus arctos,Grizzly bear,ROM 35699,435500,400.5,146.25,445.5,126.25
Carnivora,Ursidae,Ursus maritimus,Polar bear,AHR1985,447695,,158,,135
Carnivora,Viverridae,Viverricula indica,Lesser oriental civet,ROM R629,2600,78.3,21.2,92.95,24.1
Euarchonta,Aotidae,Aotus trivirgatus,Three-striped Night Monkey,ROM 94422,1050,68.465,15,91.14,16.85
Euarchonta,Callitrichidae,Callithrix jacchus,Common Marmoset,ROM 101192,270,45.04,11.05,56.175,11.85
Euarchonta,Callitrichidae,Cebuella pygmaea,Pygmy Marmoset,ROM 97068,178,35.77,8.75,40.615,8.85
Euarchonta,Callitrichidae,Saguinus sp.,Tamarin,ROM 20131,422,52.625,12.2,66.32,13.35
Euarchonta,Cercopithecidae,Cercopithecus neglectus,De Brazza's Monkey,ROM 111045,11450,149.43,36.95,184.4,39.05
Euarchonta,Cercopithecidae,Macaca fuscata,Japanese Macaque,ROM 112298,3500,135.9,30,152.5,31.5
Euarchonta,Cercopithecidae,Papio cynocephalus,Yellow baboon,AHR1985,28576,,55,,57
Euarchonta,Cercopithecidae,Papio hamadryas,Hamadryas Baboon,ROM 91308,14700,190.85,42.25,224.4,44.5
Euarchonta,Galagidae,Euoticus elegantulus,Southern Needle-clawed Bushbaby,ROM 55711,260,38.26,11.2,65.34,12
Euarchonta,Galagidae,Otolemur crassicaudatus,Brown Greater Galago,ROM 64976,950,59.915,16,90.14,19
Euarchonta,Hominidae,Pongo Pygmaeus,Orangutan,ROM 82830,155000,368.5,98.5,273,88
Euarchonta,Hylobatidae,Hylobates lar,Lar Gibbon,ROM 77534,6400,238.05,28.5,203.6,31.45
Euarchonta,Lemuridae,Eulemur fulvus,Common Brown Lemur,ROM 68120,1192,74.095,16.05,116.44,19.8
Euarchonta,Lemuridae,Lemur catta,Ring-tailed Lemur,ROM 114614,2300,89.39,21,143.39,26.8
Euarchonta,Tuapiidae,Tupaia glis,Common Treeshrew,ROM 75961,176,27.3,7,35.85,9.35
Eulipotyphla,Erinaceidae,Atelerix albiventris,African pygmy hedgehog,ROM R6167,360,33.45,10.95,34.3,15.15
Eulipotyphla,Erinaceidae,Atelerix algirus,North African Hedgehog,ROM 111451,415,33.8,10.2,34.25,11.7
Eulipotyphla,Erinaceidae,Echinosorex gymnura,Moonrat,ROM 36803,610,45,11,49.45,13.05
Eulipotyphla,Erinaceidae,Erinaceus europaeus,European Hedgehog,ROM 79166,717,44.65,15.5,41.35,16.75
Eulipotyphla,Talpidae,Condylura cristata,Star-nosed mole,ROM 77166,59,13.9,10.05,15.9,6.3
Eulipotyphla,Talpidae,Parascalops breweri,Hairy-tailed Mole,ROM 90471,56,14.1,12.3,14.35,5.9
Glires,Aplodontidae,Aplodontia rufa,Mountain Beaver,ROM R6571,953,45.55,15,52.75,15.75
Glires,Castoridae,Castor canadensis,Canadian Beaver,ROM 111459,12500,78.8,34.5,104.2,49.75
Glires,Caviidae,Cavia porcellus,Guinea pig,ROM 98958,1200,40.45,12.6,48.5,16
Glires,Caviidae,Dolichotis patagonum,Patagonian Mara,ROM 90847,8950,113.6,28.6,129.35,35.35
Glires,Chinchillidae,Chinchilla lanigera,Long-tailed chinchilla,ROM R5786,462,33.3,8.85,54.7,14.8
Glires,Cricetidae,Dicrostonyx groenlandicus,Northern collared lemming,ROM 96599,103,19.85,6.9,23,7.15
Glires,Cricetidae,Dicrostonyx hudsonius,Ungava Collared Lemming,ROM 63549,108.8,20,7.1,24.15,8
Glires,Cricetidae,Dicrostonyx richardsoni,Richardson's Collared Lemming,ROM 96743,95,19.5,5.8,23.35,5.6
Glires,Cricetidae,Melanomys caliginosus,Dusky Rice Rat,ROM 99943,64,16.95,6,23.35,8.2
Glires,Cricetidae,Mesocricetus auratus,Hamster,ROM R5623,198,24.3,8.85,29,11
Glires,Cricetidae,Microtus chrotorrhinus,Rock Vole,ROM 90185,67,15.05,4.85,18.35,5.6
Glires,Cricetidae,Microtus pennsylvanicus,Meadow Vole,ROM 87854,70,14.6,4.5,18.1,5.7
Glires,Cricetidae,Microtus richardsoni,Water Vole,ROM 83701,61,16.2,5.2,18.95,6.75
Glires,Cricetidae,Nectomys squamipes,South American Water Rat,ROM 98049,235,24.45,7.6,37.5,11.8
Glires,Cricetidae,Neotoma albigula,White-Throated Woodrat,ROM 87452,188.1,27.5,8.45,35.4,11.05
Glires,Cricetidae,Oryzomys albigularis,Tomes's rice rat,ROM 97316,106,22.5,6,30.35,8
Glires,Cricetidae,Oryzomys couesi,Coues' Rice Rat,ROM 97756,102,19.4,7.05,28.7,9.85
Glires,Cricetidae,Oryzomys megacephalus,Large-headed Rice Rat,ROM 106329,86,19.65,5.75,29.15,7.5
Glires,Cricetidae,Peromyscus zarhynchus,Chiapan Deer Mouse,ROM 97525,78,19.95,5.55,27.5,7
Glires,Cricetidae,Rhipidomys leucodactylus,White-footed Climbing Mouse,ROM 107873,110,22.85,7.9,32,10
Glires,Cricetidae,Sigmodon hispidus,Hispid cotton rat,ROM 95215,163,22.95,6.75,33.6,10
Glires,Dasyproctidae,Dasyprocta aguti,Agouti,ROM 90845,2230,74.5,20.5,93.95,28
Glires,Echimyidae,Echimys didelphoides,Brazilian Spiny Tree Rat,ROM 107837,375,30.4,10.1,39.3,13.5
Glires,Echimyidae,Echimys semivillosus,Speckled Spiny Tree-rat,ROM 107955,350,31.85,10.5,40.75,14.25
Glires,Echimyidae,Proechimys cuvieri,Cuvier's Spiny-rat,ROM 98086,400,33.35,9.05,45,13.5
Glires,Erethizontidae,Erethizon dorsatum,Porcupine,ROM R1949,9051,105.1,29.65,121.3,37.4
Glires,Geomyidae,Geomys bursarius,Plains Pocket Gopher,ROM 72875,167.6,23.25,10.25,26.45,9.15
Glires,Geomyidae,Orthogeomys hispidus,Hispid Pocket Gopher,ROM 96303,490,34.45,13.95,42.05,14.05
Glires,Geomyidae,Thomomys Talpoides,Northern Pocket Gopher,ROM 102659,210,25.65,10.7,28.9,10.3
Glires,Heteromyidae,Dipodomys ordii,Ord's Kangaroo Rat,ROM 91990,67,15.8,5.1,29.18,7.35
Glires,Heteromyidae,Heteromys desmarestianus,Desmarest's Spiny Pocket Mouse,ROM 96134,94,19.3,6.15,28.8,8.9
Glires,Heteromyidae,Heteromys gaumeri,Gaumer's Spiny Pocket Mouse,ROM 95659,81,19.6,6,28.1,8.2
Glires,Heteromyidae,Heteromys goldmani,Goldman's Spiny Pocket Mouse,ROM 97674,82,20.65,6.1,29.1,8.7
Glires,Hydrochaeridae,Hydrochaeris hydrochaeris,Capybara,ROM 73588,56500,191.5,60.5,223.5,70.5
Glires,Leporidae,Lepus americanus,Snowshoe Hare,ROM 82454,1294,75.7,14.5,98.25,19.65
Glires,Leporidae,Lepus arcticus,Arctic Hare,ROM 94615,4500,109.15,22,129.2,30
Glires,Leporidae,Lepus californicus,Blacktail jackrabbit,ROM R6444,1535,83.6,17.8,107.55,12.3
Glires,Leporidae,Lepus europaeus,European Hare,ROM 93105,3402,108.1,24.75,137.9,33.75
Glires,Leporidae,Lepus townsendii,White-tailed Jackrabbit,ROM 91969,4300,102.6,20.75,125.85,28.25
Glires,Leporidae,Oryctolagus cuniculus,European Rabbit,ROM 84051,1900,68.55,15.5,88.8,20
Glires,Leporidae,Sylvilagus floridanus,Eastern cottontail,ROM R2974,1057,61.9,14.85,82.4,18.35
Glires,Muridae,Acomys cahirinus,Cairo Spiny Mouse,ROM 87683,56,16.7,4.36,21.65,6.225
Glires,Muridae,Arvicanthis niloticus,African Grass Rat,ROM 82849,120,21,6.5,28.65,9.05
Glires,Muridae,Gerbillus gerbillus,Lesser Gerbil,ROM 88169,79,16.3,5.1,25.45,8
Glires,Muridae,Gerbillus pyramidum,Greater Egyptian Gerbil,ROM 88173,62,16.5,5.2,25.1,7.3
Glires,Muridae,Malacomys cansdalei,Cansdale's Swamp Rat,ROM 100502,70,21.05,5.25,30.1,7.1
